t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
438.68406970191404,-2.714210399315067e+16,-2.714210399315067e+16,30923927154306.02,2.356955200458899e+19,5.497605280535326e+18,1.0159045657586621e+20
439.18406970191404,-2.6935392752699796e+16,-2.6935392752699796e+16,30715326264143.465,2.3572748348666745e+19,5.49789632337696e+18,1.0157695530500452e+20
439.68406970191404,-2.6732595693904164e+16,-2.6732595693904164e+16,30510888307104.734,2.357592296360611e+19,5.498181583763138e+18,1.0156355580647526e+20
440.18406970191404,-2.6533591702568824e+16,-2.6533591702568824e+16,30310476476668.137,2.357907631226325e+19,5.498461235262191e+18,1.0155025617953035e+20
440.68406970191404,-2.6338264954704664e+16,-2.6338264954704664e+16,30113960180028.062,2.3582208841188725e+19,5.49873544443454e+18,1.015370545813819e+20
441.18406970191404,-2.614650461809328e+16,-2.614650461809328e+16,29921214679947.758,2.358532098141433e+19,5.499004371190011e+18,1.0152394922470541e+20
441.68406970191404,-2.5958204574391828e+16,-2.5958204574391828e+16,29732120761517.098,2.3588413149191266e+19,5.49926816912301e+18,1.0151093837528233e+20
442.18406970191404,-2.577326316011518e+16,-2.577326316011518e+16,29546564421794.41,2.3591485746683335e+19,5.499526985827246e+18,1.0149802034977205e+20
442.68406970191404,-2.559158292498922e+16,-2.559158292498922e+16,29364436580498.52,2.3594539162618954e+19,5.499780963191498e+18,1.0148519351360489e+20
443.18406970191404,-2.5413070406304324e+16,-2.5413070406304324e+16,29185632810084.31,2.3597573772904636e+19,5.500030237677693e+18,1.0147245627898762e+20
443.68406970191404,-2.523763591802434e+16,-2.523763591802434e+16,29010053083685.957,2.360058994120284e+19,5.500274940582608e+18,1.0145980710301475e+20
444.18406970191404,-2.5065193353515576e+16,-2.5065193353515576e+16,28837601539546.96,2.3603588019477213e+19,5.500515198284321e+18,1.0144724448587846e+20
444.68406970191404,-2.4895660000861376e+16,-2.4895660000861376e+16,28668186260677.707,2.3606568348506575e+19,5.500751132474383e+18,1.0143476696917036e+20
445.18406970191404,-2.4728956369817424e+16,-2.4728956369817424e+16,28501719068590.984,2.3609531258370843e+19,5.500982860376793e+18,1.0142237313427035e+20
445.68406970191404,-2.4565006029544724e+16,-2.4565006029544724e+16,28338115330065.2,2.3612477068909806e+19,5.501210494954549e+18,1.0141006160081651e+20
446.18406970191404,-2.440373545633e+16,-2.440373545633e+16,28177293775973.516,2.3615406090157515e+19,5.501434145104696e+18,1.0139783102525096e+20
446.68406970191404,-2.4245073890570092e+16,-2.4245073890570092e+16,28019176331299.516,2.3618318622753104e+19,5.501653915842555e+18,1.0138568009943738e+20
447.18406970191404,-2.4088953202356904e+16,-2.4088953202356904e+16,27863687955531.67,2.3621214958329934e+19,5.501869908475877e+18,1.0137360754934558e+20
447.68406970191404,-2.393530776505383e+16,-2.393530776505383e+16,27710756492696.254,2.362409537988451e+19,5.502082220769552e+18,1.0136161213379941e+20
